out_name,units,long_name,standard_name,priority,comments,frequency
zg1000,m,Geopotential Height,geopotential_height,TIER1,,day
zg1000,m,Geopotential Height,geopotential_height,TIER1,,6hrPt
zg925,m,Geopotential Height,geopotential_height,TIER1,,mon
zg925,m,Geopotential Height,geopotential_height,TIER1,,day
zg925,m,Geopotential Height,geopotential_height,TIER1,,6hrPt
zg850,m,Geopotential Height,geopotential_height,TIER1,,mon
zg850,m,Geopotential Height,geopotential_height,TIER1,,day
zg850,m,Geopotential Height,geopotential_height,TIER1,,6hrPt
zg700,m,Geopotential Height,geopotential_height,TIER1,,mon
zg700,m,Geopotential Height,geopotential_height,TIER1,,day
zg700,m,Geopotential Height,geopotential_height,TIER1,,6hrPt
zg600,m,Geopotential Height,geopotential_height,TIER1,,mon
zg600,m,Geopotential Height,geopotential_height,TIER1,,day
zg600,m,Geopotential Height,geopotential_height,TIER1,,6hrPt
zg500,m,Geopotential Height,geopotential_height,TIER1,,mon
zg500,m,Geopotential Height,geopotential_height,TIER1,,day
zg500,m,Geopotential Height,geopotential_height,TIER1,,6hrPt
zg400,m,Geopotential Height,geopotential_height,TIER1,,mon
zg400,m,Geopotential Height,geopotential_height,TIER1,,day
zg400,m,Geopotential Height,geopotential_height,TIER1,,6hrPt
zg300,m,Geopotential Height,geopotential_height,TIER1,,mon
zg300,m,Geopotential Height,geopotential_height,TIER1,,day
zg300,m,Geopotential Height,geopotential_height,TIER1,,6hrPt
zg250,m,Geopotential Height,geopotential_height,TIER1,,mon
zg250,m,Geopotential Height,geopotential_height,TIER1,,day
zg250,m,Geopotential Height,geopotential_height,TIER1,,6hrPt
zg200,m,Geopotential Height,geopotential_height,TIER1,,mon
zg200,m,Geopotential Height,geopotential_height,TIER1,,day
zg200,m,Geopotential Height,geopotential_height,TIER1,,6hrPt
wa1000,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,mon
wa1000,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,day
wa1000,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,6hrPt
wa925,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,mon
wa925,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,day
wa925,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,6hrPt
wa850,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,mon
wa850,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,day
wa850,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,6hrPt
wa700,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,mon
wa700,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,day
wa700,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,6hrPt
wa600,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,mon
wa600,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,day
wa600,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,6hrPt
wa500,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,mon
wa500,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,day
wa500,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,6hrPt
wa400,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,mon
wa400,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,day
wa400,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,6hrPt
wa300,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,mon
wa300,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,day
wa300,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,6hrPt
wa250,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,mon
wa250,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,day
wa250,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,6hrPt
wa200,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,mon
wa200,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,day
wa200,m s-1,Upward Air Velocity,upward_air_velocity,TIER1,,6hrPt
ua50m,m s-1,Eastward Wind at 50m,eastward_wind,TIER1,,mon
ua50m,m s-1,Eastward Wind at 50m,eastward_wind,TIER1,,day
ua50m,m s-1,Eastward Wind at 50m,eastward_wind,TIER1,,1hrPt
ua100m,m s-1,Eastward Wind at 100m,eastward_wind,TIER1,,mon
ua100m,m s-1,Eastward Wind at 100m,eastward_wind,TIER1,,day
ua100m,m s-1,Eastward Wind at 100m,eastward_wind,TIER1,,1hrPt
ua150m,m s-1,Eastward Wind at 150m,eastward_wind,TIER1,,mon
ua150m,m s-1,Eastward Wind at 150m,eastward_wind,TIER1,,day
ua150m,m s-1,Eastward Wind at 150m,eastward_wind,TIER1,,1hrPt
va50m,m s-1,Northward Wind at 50m,northward_wind,TIER1,,mon
va50m,m s-1,Northward Wind at 50m,northward_wind,TIER1,,day
va50m,m s-1,Northward Wind at 50m,northward_wind,TIER1,,1hrPt
va100m,m s-1,Northward Wind at 100m,northward_wind,TIER1,,mon
va100m,m s-1,Northward Wind at 100m,northward_wind,TIER1,,day
va100m,m s-1,Northward Wind at 100m,northward_wind,TIER1,,1hrPt
va150m,m s-1,Northward Wind at 150m,northward_wind,TIER1,,mon
